casetas,tramo_que_cobra,tipo_vehiculo,costo
Tlalpan,Mexico - Cuernavaca,motos,37.0
Alpuyeca,Cuernavaca-Alpuyeca,motos,22.0
Paso Morelos,Pte de Ixtla-Chilpancingo,motos,50.0
Paso Morelos,Pte de Ixtla-Paso Morelos,motos,26.0
Paso Morelos,Paso Morelos-Chilpancingo,motos,41.0
Palo Blanco,Chilpancingo-Tierra Colorada,motos,46.0
La Venta,Tierra Colorada-Acapulco,motos,41.0
Xochitepec,Cuernavaca-Xochitepec,motos,10.0
Aeropuerto,Cuernavaca-Aeropuerto,motos,5.0
Aeropuerto,Aeropuerto-Cuernavaca,motos,5.0
Emiliano Zapata,Cuernavaca-Central de Abastos,motos,3.0
Tampico,Ent Cd Valles-Ent Altamira,motos,13.0
Tampico,Ent Cd Valles-Loma Real,motos,6.0
Tampico,Loma Real-Ent Altamira,motos,7.0
Cuitlahuac,Cordoba-La Tinaja,motos,46.0
Cuitlahuac,Cordoba-Cuitlahuac,motos,16.0
Cuitlahuac,Cuitlahuac-La Tinaja,motos,30.0
Paso del Toro,La Tinaja-Veracruz,motos,43.0
Paso del Toro,La Tinaja-Paso del Toro,motos,35.0
Paso del Toro,Paso del Toro-Veracruz,motos,7.0
Cosamaloapan,La Tinaja-Isla,motos,91.0
Cosamaloapan,La Tinaja-Cosamaloapan,motos,75.0
Cosamaloapan,Cosamaloapan-Isla,motos,16.0
Sayula,Isla-Cosoleacaque,motos,84.0
Sayula,Isla-Acayucan,motos,54.0
Sayula,Acayucan-Cosoleacaque,motos,30.0
Chichimequillas,Ent. Aut. Mex. Qro.-Ent. Qro. Slp,motos,21.0
Seybaplaya,Champoton-Campeche,motos,31.0
Seybaplaya,Villa Madero-Seybaplaya,motos,13.0
Seybaplaya,Seybaplaya-Campeche,motos,19.0
La Carbonera (Ojo Caliente),Libramiento Oriente Saltillo,motos,18.0
Los Chorros,La Carbonera-Puerto Mexico,motos,28.0
Huachichil,Ent. Huachichil-Ent. Tramo Los Chorros,motos,19.0
Estacion Don (La Jaula),Estacion Don-Navojoa,motos,35.0
Fundicion,Navojoa-Cd Obregon,motos,35.0
"Tres Marias ""A""",Tres Marias-Cuernavaca,motos,18.0
Esperanza,Cd Obregon-Guaymas,motos,35.0
Guaymas,Libramiento Guaymas,motos,15.0
Hermosillo,Hermosillo-Magdalena,motos,35.0
Magdalena,Libramiento Magdalena,motos,12.0
Bermejillo,Gomez Palacio-Est Banderas,motos,53.0
Ceballos,Est Banderas-Corralitos,motos,61.0
Plan de Ayala,Loma Bonita-Plan de Ayala,motos,59.0
La Cuchilla,Matamoros-La Cuchilla,motos,33.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Cardenas,motos,32.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Entronque Magallanes,motos,16.0
Sanchez Magallanes (Aguadulce ),Entronque Magallanes-Cardenas,motos,16.0
Totomoxtle,Totomoxtle-Ent. el Pital,motos,18.0
Las Choapas,Ent. Las Choapas-Ent. Nuevo Sacrificio,motos,32.0
Las Choapas,Ent. Las Choapas-Ent. Las Choapas Ii,motos,10.0
Las Choapas,Las Choapas Ii-Ent.Nuevo Sacrificio,motos,24.0
Malpasito,Ent. Nuevo Sacrificio-Ent. Raudales,motos,32.0
Malpasito,Ent. Nuevo Sacrificio-Malpasito,motos,17.0
Malpasito,Malpasito-Raudales,motos,15.0
Ocozocoautla (Ocuilapa),Ent. Raudales-Ent. Ocozocoautla,motos,32.0
Villagran,Villagran-Salamanca,motos,13.0
Ing. Francisco Velasco DurÃ¡n,Cuernavaca-Pte de Ixtla,motos,24.0
Alpuyeca,Alpuyeca-Pte de Ixtla,motos,10.0
Cerro Gordo,Celaya-Ent. Cerro Gordo,motos,19.0
Cerro Gordo,Ent. Cerro Gordo-Irapuato,motos,16.0
Cerro Gordo,Ent. Cerro Gordo-Salamanca,motos,5.0
San Marcos Bis,Mexico-Circuito Exterior Mexiquense,motos,8.0
Nodo Popotla,La Mision-Corredor 2000,motos,14.0
Lagos de Moreno,Lagos de Moreno - Villa de Arriaga,motos,47.0
Ozumba,Amecameca - Nepantla,motos,21.0
Aeropuerto Los Cabos,San Jose del Cabo-Aeropuerto Los Cabos,motos,16.0
Aeropuerto Los Cabos,Cabo San Lucas-Aeropuerto Los Cabos,motos,32.0
Aeropuerto Los Cabos,El Mangle-Aeropuerto Los Cabos,motos,35.0
San Lucas,Aeropuerto Los Cabos-Cabo San Lucas,motos,32.0
San Lucas,San Jose del Cabo-Cabo San Lucas,motos,25.0
San Lucas,El Mangle-Cabo San Lucas,motos,16.0
El Mangle,Aeropuerto Los Cabos-El Mangle,motos,35.0
El Mangle,San JosÃ© del Cabo-El Mangle,motos,27.0
El Mangle,Cabo San Lucas-El Mangle,motos,16.0
Apaseo,Celaya-Apaseo,motos,17.0
Tepoztlan,La Pera - Oaxtepec,motos,13.0
Oacalco,Oaxtepec - Cuautla,motos,13.0
Amozoc,Puebla-Acatzingo,motos,29.0
Amozoc,Puebla-Amozoc,motos,15.0
Amozoc-Perote,Puebla-Ent. Amozoc-Perote,motos,5.0
Esperanza,Acatzingo-Cd Mendoza,motos,58.0
Esperanza,Acatzingo-Esperanza,motos,29.0
Iguala,Puente de Ixtla-Iguala,motos,35.0
Playas de Tijuana,Tijuana-Rosarito,motos,16.0
Rosarito,Rosarito-La Mision,motos,16.0
Ensenada,La Mision-Ensenada,motos,17.0
Tepotzotlan,Tepalcapa - Tepeji,motos,37.0
Salamanca,Celaya-Irapuato,motos,34.0
Salamanca,Celaya-Salamanca,motos,23.0
Salamanca,Salamanca-Irapuato,motos,12.0
Fortin,Cd. Mendoza - Cordoba,motos,13.0
Fortin,Cd. Mendoza - Fortin,motos,5.0
Palmillas,Tepeji-Palmillas,motos,37.0
Zacapalco,Zacapalco-Rancho Viejo,motos,14.0
Taxco,Rancho Viejo-Taxco,motos,7.0
Queretaro,Queretaro-Celaya,motos,34.0
Queretaro Bis,Queretaro-Ent. Lib Suroeste de Qro,motos,3.0
Queretaro Bis,Ent. Lib Suroeste de Qro-Celaya,motos,30.0
Jorobas,Jorobas-Tepeji,motos,23.0
Jorobas,Circuito Exterior Mexiquense,motos,23.0
San Marcos,Mexico-San Martin Texmelucan,motos,54.0
Polotitlan,Tepeji-Polotitlan,motos,32.0
Chalco,Mexico-Chalco,motos,8.0
Tehuacan,Cuacnopalan-Tehuacan,motos,18.0
Miahuatlan,Tehuacan-Miahuatlan,motos,13.0
Suchixtlahuaca,Miahuatlan-Nochixtlan,motos,31.0
Suchixtlahuaca,Miahuatlan-Coixtlahuaca,motos,15.0
Huitzo,Nochixtlan-Oaxaca,motos,37.0
Huitzo,Nochixtlan-Huitzo,motos,30.0
Huitzo,Huitzo-Oaxaca,motos,12.0
Huitzo,Huitzo-Nochixtlan,motos,30.0
San Martin a Puebla,San Martin Texmelucan-Puebla,motos,16.0
El Hongo,La Rumorosa-Tecate,motos,33.0
El Hongo,El Hongo-Tecate,motos,16.0
El Hongo,La Rumorosa-El Hongo,motos,16.0
San Jose del Cabo,Aeropuerto Los Cabos-San Jose del Cabo,motos,16.0
San Jose del Cabo,Cabo San Lucas-San JosÃ© del Cabo,motos,25.0
San Jose del Cabo,El Mangle-San JosÃ© del Cabo,motos,27.0
Tehuantepec,Salina Cruz-Tehuantepec,motos,16.0
Ixtepec,Tehuantepec- la Ventosa,motos,31.0
Ixtepec,Tehuantepec- Ixtepec,motos,16.0
Ixtepec,Ixtepec - la Ventosa,motos,16.0
Durango,Libramiento de Durango-Ent. Otinapa,motos,29.0
Llano Grande,Ent. Otinapa-Ent. Piloncillo,motos,41.0
Coscomate,Ent. Piloncillo-Santa Lucia,motos,129.0
Mesillas,Santa LucÃ­a-MazatlÃ¡n (Villa UniÃ³n),motos,68.0
Mesillas,Santa LucÃ­a-La Concordia,motos,51.0
Mesillas,La Concordia-MazatlÃ¡n (Villa UniÃ³n),motos,17.0
Chamapa,Chamapa-Lecheria,motos,22.0
Chamapa,Chamapa-Ent. San Miguel,motos,19.0
Chamapa,Chamapa-Lago de Guadalupe,motos,19.0
Chamapa,Chamapa-Atizapan,motos,15.0
Chamapa,Chamapa-Madin,motos,10.0
Chamapa,Chamapa-San Mateo Nopala,motos,5.0
Chamapa,Chamapa-Cipreses,motos,2.0
Cipreses,Cipreses-Lecheria,motos,19.0
Cipreses,Cipreses-Ent. San Miguel,motos,16.0
Cipreses,Cipreses-Lago de Guadalupe,motos,16.0
Cipreses,Cipreses-Atizapan,motos,12.0
Cipreses,Cipreses-Madin,motos,8.0
Cipreses,Cipreses-San Mateo Nopala,motos,2.0
San Mateo Nopala,San Mateo Nopala-Lecheria,motos,18.0
San Mateo Nopala,San Mateo Nopala-Ent. San Miguel,motos,15.0
San Mateo Nopala,Sn Mateo Nopala-Lago de Guadalupe,motos,13.0
San Mateo Nopala,San Mateo Nopala-Atizapan,motos,10.0
San Mateo Nopala,San Mateo Nopala-Madin,motos,7.0
Madin,Madin-Lecheria,motos,10.0
Madin,Madin-Ent. San Miguel,motos,8.0
Madin,Madin-Lago de Guadalupe,motos,8.0
Madin,Madin-Atizapan,motos,3.0
Atizapan,Atizapan-Lecheria,motos,7.0
Atizapan,Atizapan-Ent. San Miguel,motos,5.0
Atizapan,Atizapan-Lago de Guadalupe,motos,3.0
Lago de Guadalupe,Lago de Guadalupe-Ent. San Miguel,motos,1.0
Lago de Guadalupe,Lago de Guadalupe-Lecheria,motos,3.0
Ent.San Miguel,Ent.San Miguel-Lecheria,motos,2.0
Lomas Verdes,Lomas Verdes-LecherÃ­a,motos,19.0
Lomas Verdes,Lomas Verdes-Ent.San Miguel,motos,15.0
Lomas Verdes,Lomas Verdes-Lago de Guadalupe,motos,13.0
Lomas Verdes,Lomas Verdes-AtizapÃ¡n,motos,10.0
Lomas Verdes,Lomas Verdes-Madin,motos,5.0
Lomas Verdes,Lomas Verdes-San Mateo Nopala,motos,7.0
Lomas Verdes,Lomas Verdes-Cipreses,motos,10.0
Lomas Verdes,Lomas Verdes-Chamapa,motos,13.0
El Zacatal,Zacatal-Ciudad del Carmen,motos,35.0
Tlalpan,Mexico - Cuernavaca,motos,37.0
Alpuyeca,Cuernavaca-Alpuyeca,motos,22.0
Paso Morelos,Pte de Ixtla-Chilpancingo,motos,67.0
Paso Morelos,Pte de Ixtla-Paso Morelos,motos,26.0
Paso Morelos,Paso Morelos-Chilpancingo,motos,41.0
Palo Blanco,Chilpancingo-Tierra Colorada,motos,62.0
La Venta,Tierra Colorada-Acapulco,motos,54.0
Xochitepec,Cuernavaca-Xochitepec,motos,10.0
Aeropuerto,Cuernavaca-Aeropuerto,motos,5.0
Aeropuerto,Aeropuerto-Cuernavaca,motos,5.0
Emiliano Zapata,Cuernavaca-Central de Abastos,motos,3.0
Tampico,Ent Cd Valles-Ent Altamira,motos,13.0
Tampico,Ent Cd Valles-Loma Real,motos,6.0
Tampico,Loma Real-Ent Altamira,motos,7.0
Cuitlahuac,Cordoba-La Tinaja,motos,48.0
Cuitlahuac,Cordoba-Cuitlahuac,motos,16.0
Cuitlahuac,Cuitlahuac-La Tinaja,motos,31.0
Paso del Toro,La Tinaja-Veracruz,motos,45.0
Paso del Toro,La Tinaja-Paso del Toro,motos,36.0
Paso del Toro,Paso del Toro-Veracruz,motos,7.0
Cosamaloapan,La Tinaja-Isla,motos,95.0
Cosamaloapan,La Tinaja-Cosamaloapan,motos,78.0
Cosamaloapan,Cosamaloapan-Isla,motos,16.0
Sayula,Isla-Cosoleacaque,motos,88.0
Sayula,Isla-Acayucan,motos,56.0
Sayula,Acayucan-Cosoleacaque,motos,31.0
Chichimequillas,Ent. Aut. Mex. Qro.-Ent. Qro. Slp,motos,22.0
Seybaplaya,Champoton-Campeche,motos,32.0
Seybaplaya,Villa Madero-Seybaplaya,motos,13.0
Seybaplaya,Seybaplaya-Campeche,motos,19.0
La Carbonera (Ojo Caliente),Libramiento Oriente Saltillo,motos,18.0
Los Chorros,La Carbonera-Puerto Mexico,motos,29.0
Huachichil,Ent. Huachichil-Ent. Tramo Los Chorros,motos,19.0
Estacion Don (La Jaula),Estacion Don-Navojoa,motos,37.0
Fundicion,Navojoa-Cd Obregon,motos,37.0
"Tres Marias ""A""",Tres Marias-Cuernavaca,motos,18.0
Esperanza,Cd Obregon-Guaymas,motos,37.0
Guaymas,Libramiento Guaymas,motos,16.0
Hermosillo,Hermosillo-Magdalena,motos,37.0
Magdalena,Libramiento Magdalena,motos,12.0
Bermejillo,Gomez Palacio-Est Banderas,motos,55.0
Ceballos,Est Banderas-Corralitos,motos,63.0
Plan de Ayala,Loma Bonita-Plan de Ayala,motos,60.0
La Cuchilla,Matamoros-La Cuchilla,motos,34.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Cardenas,motos,34.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Entronque Magallanes,motos,16.0
Sanchez Magallanes (Aguadulce ),Entronque Magallanes-Cardenas,motos,16.0
Totomoxtle,Totomoxtle-Ent. el Pital,motos,19.0
Las Choapas,Ent. Las Choapas-Ent. Nuevo Sacrificio,motos,36.0
Las Choapas,Ent. Las Choapas-Ent. Las Choapas Ii,motos,11.0
Las Choapas,Las Choapas Ii-Ent.Nuevo Sacrificio,motos,25.0
Malpasito,Ent. Nuevo Sacrificio-Ent. Raudales,motos,33.0
Malpasito,Ent. Nuevo Sacrificio-Malpasito,motos,18.0
Malpasito,Malpasito-Raudales,motos,15.0
Ocozocoautla (Ocuilapa),Ent. Raudales-Ent. Ocozocoautla,motos,34.0
Villagran,Villagran-Salamanca,motos,13.0
Ing. Francisco Velasco DurÃ¡n,Cuernavaca-Pte de Ixtla,motos,32.0
Alpuyeca,Alpuyeca-Pte de Ixtla,motos,10.0
Cerro Gordo,Celaya-Ent. Cerro Gordo,motos,19.0
Cerro Gordo,Ent. Cerro Gordo-Irapuato,motos,17.0
Cerro Gordo,Ent. Cerro Gordo-Salamanca,motos,5.0
San Marcos Bis,Mexico-Circuito Exterior Mexiquense,motos,8.0
Nodo Popotla,La Mision-Corredor 2000,motos,14.0
Lagos de Moreno,Lagos de Moreno - Villa de Arriaga,motos,49.0
Ozumba,Amecameca - Nepantla,motos,22.0
Aeropuerto Los Cabos,San Jose del Cabo-Aeropuerto Los Cabos,motos,16.0
Aeropuerto Los Cabos,Cabo San Lucas-Aeropuerto Los Cabos,motos,34.0
Aeropuerto Los Cabos,El Mangle-Aeropuerto Los Cabos,motos,36.0
San Lucas,Aeropuerto Los Cabos-Cabo San Lucas,motos,34.0
San Lucas,San Jose del Cabo-Cabo San Lucas,motos,26.0
San Lucas,El Mangle-Cabo San Lucas,motos,16.0
El Mangle,Aeropuerto Los Cabos-El Mangle,motos,36.0
El Mangle,San JosÃ© del Cabo-El Mangle,motos,28.0
El Mangle,Cabo San Lucas-El Mangle,motos,16.0
Apaseo,Celaya-Apaseo,motos,17.0
Tepoztlan,La Pera - Oaxtepec,motos,14.0
Oacalco,Oaxtepec - Cuautla,motos,14.0
Iguala,Puente de Ixtla-Iguala,motos,36.0
Playas de Tijuana,Tijuana-Rosarito,motos,16.0
Rosarito,Rosarito-La Mision,motos,16.0
Ensenada,La Mision-Ensenada,motos,17.0
Tepotzotlan,Tepalcapa - Tepeji,motos,38.0
Salamanca,Celaya-Irapuato,motos,37.0
Salamanca,Celaya-Salamanca,motos,24.0
Salamanca,Salamanca-Irapuato,motos,12.0
Fortin,Cd. Mendoza - Cordoba,motos,13.0
Fortin,Cd. Mendoza - Fortin,motos,5.0
Palmillas,Tepeji-Palmillas,motos,38.0
Zacapalco,Zacapalco-Rancho Viejo,motos,14.0
Taxco,Rancho Viejo-Taxco,motos,7.0
Queretaro,Queretaro-Celaya,motos,35.0
Queretaro Bis,Queretaro-Ent. Lib Suroeste de Qro,motos,3.0
Queretaro Bis,Ent. Lib Suroeste de Qro-Celaya,motos,31.0
Jorobas,Jorobas-Tepeji,motos,24.0
Jorobas,Circuito Exterior Mexiquense,motos,24.0
San Marcos,Mexico-San Martin Texmelucan,motos,56.0
Polotitlan,Tepeji-Polotitlan,motos,33.0
Chalco,Mexico-Chalco,motos,8.0
Tehuacan,Cuacnopalan-Tehuacan,motos,19.0
Miahuatlan,Tehuacan-Miahuatlan,motos,13.0
Suchixtlahuaca,Miahuatlan-Nochixtlan,motos,32.0
Suchixtlahuaca,Miahuatlan-Coixtlahuaca,motos,16.0
Huitzo,Nochixtlan-Oaxaca,motos,43.0
Huitzo,Nochixtlan-Huitzo,motos,31.0
Huitzo,Huitzo-Oaxaca,motos,12.0
San Martin a Puebla,San Martin Texmelucan-Puebla,motos,17.0
El Hongo,La Rumorosa-Tecate,motos,35.0
El Hongo,El Hongo-Tecate,motos,16.0
El Hongo,La Rumorosa-El Hongo,motos,16.0
San Jose del Cabo,Aeropuerto Los Cabos-San Jose del Cabo,motos,16.0
San Jose del Cabo,Cabo San Lucas-San JosÃ© del Cabo,motos,26.0
San Jose del Cabo,El Mangle-San JosÃ© del Cabo,motos,28.0
Tehuantepec,Salina Cruz-Tehuantepec,motos,16.0
Ixtepec,Tehuantepec- la Ventosa,motos,33.0
Ixtepec,Tehuantepec- Ixtepec,motos,16.0
Ixtepec,Ixtepec - la Ventosa,motos,16.0
Durango,Libramiento de Durango-Ent. Otinapa,motos,29.0
Llano Grande,Ent. Otinapa-Ent. Piloncillo,motos,42.0
Coscomate,Ent. Piloncillo-Santa Lucia,motos,134.0
Mesillas,Santa LucÃ­a-MazatlÃ¡n (Villa UniÃ³n),motos,71.0
Mesillas,Santa LucÃ­a-La Concordia,motos,53.0
Mesillas,La Concordia-MazatlÃ¡n (Villa UniÃ³n),motos,17.0
Chamapa,Chamapa-Lecheria,motos,23.0
Chamapa,Chamapa-Ent. San Miguel,motos,19.0
Chamapa,Chamapa-Lago de Guadalupe,motos,19.0
Chamapa,Chamapa-Atizapan,motos,16.0
Chamapa,Chamapa-Madin,motos,11.0
Chamapa,Chamapa-San Mateo Nopala,motos,5.0
Chamapa,Chamapa-Cipreses,motos,2.0
Cipreses,Cipreses-Lecheria,motos,19.0
Cipreses,Cipreses-Ent. San Miguel,motos,17.0
Cipreses,Cipreses-Lago de Guadalupe,motos,16.0
Cipreses,Cipreses-Atizapan,motos,13.0
Cipreses,Cipreses-Madin,motos,8.0
Cipreses,Cipreses-San Mateo Nopala,motos,2.0
San Mateo Nopala,San Mateo Nopala-Lecheria,motos,19.0
San Mateo Nopala,San Mateo Nopala-Ent. San Miguel,motos,16.0
San Mateo Nopala,Sn Mateo Nopala-Lago de Guadalupe,motos,14.0
San Mateo Nopala,San Mateo Nopala-Atizapan,motos,11.0
San Mateo Nopala,San Mateo Nopala-Madin,motos,7.0
Madin,Madin-Lecheria,motos,11.0
Madin,Madin-Ent. San Miguel,motos,8.0
Madin,Madin-Lago de Guadalupe,motos,8.0
Madin,Madin-Atizapan,motos,3.0
Atizapan,Atizapan-Lecheria,motos,7.0
Atizapan,Atizapan-Ent. San Miguel,motos,5.0
Atizapan,Atizapan-Lago de Guadalupe,motos,3.0
Lago de Guadalupe,Lago de Guadalupe-Ent. San Miguel,motos,1.0
Lago de Guadalupe,Lago de Guadalupe-Lecheria,motos,3.0
Ent.San Miguel,Ent.San Miguel-Lecheria,motos,2.0
Lomas Verdes,Lomas Verdes-LecherÃ­a,motos,19.0
Lomas Verdes,Lomas Verdes-Ent.San Miguel,motos,16.0
Lomas Verdes,Lomas Verdes-Lago de Guadalupe,motos,14.0
Lomas Verdes,Lomas Verdes-AtizapÃ¡n,motos,11.0
Lomas Verdes,Lomas Verdes-Madin,motos,5.0
Lomas Verdes,Lomas Verdes-San Mateo Nopala,motos,7.0
Lomas Verdes,Lomas Verdes-Cipreses,motos,11.0
Lomas Verdes,Lomas Verdes-Chamapa,motos,13.0
Amozoc,Puebla-Acatzingo,motos,30.0
Amozoc,Puebla-Amozoc,motos,16.0
Amozoc-Perote,Puebla-Ent. Amozoc-Perote,motos,5.0
Esperanza,Acatzingo-Cd Mendoza,motos,60.0
Esperanza,Acatzingo-Esperanza,motos,30.0
Amozoc,Puebla-Acatzingo,motos,32.0
Amozoc,Puebla-Amozoc,motos,17.0
Amozoc-Perote,Puebla-Ent. Amozoc-Perote,motos,6.0
Esperanza,Acatzingo-Cd Mendoza,motos,64.0
Esperanza,Acatzingo-Esperanza,motos,32.0
El Zacatal,Zacatal-Ciudad del Carmen,motos,38.0
Tlalpan,Mexico - Cuernavaca,motos,49.0
Tlalpan,Mexico - Cuernavaca,motos,51.0
Alpuyeca,Cuernavaca-Alpuyeca,motos,22.0
Alpuyeca,Cuernavaca-Alpuyeca,motos,23.0
Paso Morelos,Pte de Ixtla-Chilpancingo,motos,67.0
Paso Morelos,Pte de Ixtla-Chilpancingo,motos,70.0
Paso Morelos,Pte de Ixtla-Paso Morelos,motos,26.0
Paso Morelos,Pte de Ixtla-Paso Morelos,motos,27.0
Paso Morelos,Paso Morelos-Chilpancingo,motos,41.0
Paso Morelos,Paso Morelos-Chilpancingo,motos,43.0
Palo Blanco,Chilpancingo-Tierra Colorada,motos,62.0
Palo Blanco,Chilpancingo-Tierra Colorada,motos,65.0
La Venta,Tierra Colorada-Acapulco,motos,54.0
La Venta,Tierra Colorada-Acapulco,motos,57.0
Xochitepec,Cuernavaca-Xochitepec,motos,10.0
Xochitepec,Cuernavaca-Xochitepec,motos,11.0
Aeropuerto,Cuernavaca-Aeropuerto,motos,5.0
Aeropuerto,Cuernavaca-Aeropuerto,motos,6.0
Emiliano Zapata,Cuernavaca-Central de Abastos,motos,3.0
Emiliano Zapata,Cuernavaca-Central de Abastos,motos,3.0
Tampico,Ent Cd Valles-Ent Altamira,motos,14.0
Tampico,Ent Cd Valles-Ent Altamira,motos,14.0
Tampico,Ent Cd Valles-Loma Real,motos,7.0
Tampico,Ent Cd Valles-Loma Real,motos,7.0
Tampico,Loma Real-Ent Altamira,motos,7.0
Tampico,Loma Real-Ent Altamira,motos,7.0
Cuitlahuac,Cordoba-La Tinaja,motos,51.0
Cuitlahuac,Cordoba-La Tinaja,motos,53.0
Cuitlahuac,Cordoba-Cuitlahuac,motos,17.0
Cuitlahuac,Cordoba-Cuitlahuac,motos,18.0
Cuitlahuac,Cuitlahuac-La Tinaja,motos,33.0
Cuitlahuac,Cuitlahuac-La Tinaja,motos,34.0
Paso del Toro,La Tinaja-Veracruz,motos,48.0
Paso del Toro,La Tinaja-Veracruz,motos,50.0
Paso del Toro,La Tinaja-Paso del Toro,motos,39.0
Paso del Toro,La Tinaja-Paso del Toro,motos,40.0
Paso del Toro,Paso del Toro-Veracruz,motos,8.0
Paso del Toro,Paso del Toro-Veracruz,motos,8.0
Cosamaloapan,La Tinaja-Isla,motos,101.0
Cosamaloapan,La Tinaja-Isla,motos,106.0
Cosamaloapan,La Tinaja-Cosamaloapan,motos,84.0
Cosamaloapan,La Tinaja-Cosamaloapan,motos,87.0
Cosamaloapan,Cosamaloapan-Isla,motos,17.0
Cosamaloapan,Cosamaloapan-Isla,motos,87.0
Sayula,Isla-Cosoleacaque,motos,94.0
Sayula,Isla-Cosoleacaque,motos,87.0
Sayula,Isla-Acayucan,motos,60.0
Sayula,Isla-Acayucan,motos,87.0
Sayula,Acayucan-Cosoleacaque,motos,33.0
Sayula,Acayucan-Cosoleacaque,motos,36.0
Chichimequillas,Ent. Aut. Mex. Qro.-Ent. Qro. Slp,motos,23.0
Chichimequillas,Ent. Aut. Mex. Qro.-Ent. Qro. Slp,motos,23.0
Seybaplaya,Champoton-Campeche,motos,34.0
Seybaplaya,Champoton-Campeche,motos,36.0
Seybaplaya,Villa Madero-Seybaplaya,motos,14.0
Seybaplaya,Villa Madero-Seybaplaya,motos,15.0
Seybaplaya,Seybaplaya-Campeche,motos,21.0
Seybaplaya,Seybaplaya-Campeche,motos,22.0
La Carbonera (Ojo Caliente),Libramiento Oriente Saltillo,motos,18.0
La Carbonera (Ojo Caliente),Libramiento Oriente Saltillo,motos,20.0
Los Chorros,La Carbonera-Puerto Mexico,motos,29.0
Los Chorros,La Carbonera-Puerto Mexico,motos,31.0
Huachichil,Ent. Huachichil-Ent. Tramo Los Chorros,motos,19.0
Huachichil,Ent. Huachichil-Ent. Tramo Los Chorros,motos,22.0
Estacion Don (La Jaula),Estacion Don-Navojoa,motos,39.0
Estacion Don (La Jaula),Estacion Don-Navojoa,motos,42.0
Fundicion,Navojoa-Cd Obregon,motos,39.0
Fundicion,Navojoa-Cd Obregon,motos,42.0
"Tres Marias ""A""",Tres Marias-Cuernavaca,motos,18.0
"Tres Marias ""A""",Tres Marias-Cuernavaca,motos,19.0
Esperanza,Cd Obregon-Guaymas,motos,39.0
Esperanza,Cd Obregon-Guaymas,motos,42.0
Guaymas,Libramiento Guaymas,motos,17.0
Guaymas,Libramiento Guaymas,motos,17.0
Hermosillo,Hermosillo-Magdalena,motos,39.0
Hermosillo,Hermosillo-Magdalena,motos,42.0
Magdalena,Libramiento Magdalena,motos,13.0
Magdalena,Libramiento Magdalena,motos,13.0
Bermejillo,Gomez Palacio-Est Banderas,motos,58.0
Ceballos,Est Banderas-Corralitos,motos,67.0
Plan de Ayala,Loma Bonita-Plan de Ayala,motos,64.0
La Cuchilla,Matamoros-La Cuchilla,motos,36.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Cardenas,motos,36.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Cardenas,motos,38.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Entronque Magallanes,motos,17.0
Sanchez Magallanes (Aguadulce ),Agua Dulce-Entronque Magallanes,motos,18.0
Sanchez Magallanes (Aguadulce ),Entronque Magallanes-Cardenas,motos,17.0
Sanchez Magallanes (Aguadulce ),Entronque Magallanes-Cardenas,motos,18.0
Totomoxtle,Totomoxtle-Ent. el Pital,motos,20.0
Totomoxtle,Totomoxtle-Ent. el Pital,motos,21.0
Totomoxtle,Ent. Gutierrez Zamora-Nautla,motos,5.0
Totomoxtle,Ent. Gutierrez Zamora-Nautla,motos,5.0
Las Choapas,Ent. Las Choapas-Ent. Nuevo Sacrificio,motos,38.0
Las Choapas,Ent. Las Choapas-Ent. Nuevo Sacrificio,motos,38.0
Las Choapas,Ent. Las Choapas-Ent. Las Choapas Ii,motos,11.0
Las Choapas,Ent. Las Choapas-Ent. Las Choapas Ii,motos,12.0
Las Choapas,Las Choapas Ii-Ent.Nuevo Sacrificio,motos,26.0
Las Choapas,Las Choapas Ii-Ent.Nuevo Sacrificio,motos,27.0
Malpasito,Ent. Nuevo Sacrificio-Ent. Raudales,motos,36.0
Malpasito,Ent. Nuevo Sacrificio-Ent. Raudales,motos,38.0
Malpasito,Ent. Nuevo Sacrificio-Malpasito,motos,19.0
Malpasito,Ent. Nuevo Sacrificio-Malpasito,motos,20.0
Malpasito,Malpasito-Raudales,motos,16.0
Malpasito,Malpasito-Raudales,motos,17.0
Ocozocoautla (Ocuilapa),Ent. Raudales-Ent. Ocozocoautla,motos,36.0
Ocozocoautla (Ocuilapa),Ent. Raudales-Ent. Ocozocoautla,motos,38.0
Villagran,Villagran-Salamanca,motos,14.0
Villagran,Villagran-Salamanca,motos,15.0
Ing. Francisco Velasco DurÃ¡n,Cuernavaca-Pte de Ixtla,motos,32.0
Ing. Francisco Velasco DurÃ¡n,Cuernavaca-Pte de Ixtla,motos,33.0
Alpuyeca,Alpuyeca-Pte de Ixtla,motos,10.0
Alpuyeca,Alpuyeca-Pte de Ixtla,motos,11.0
Cerro Gordo,Celaya-Ent. Cerro Gordo,motos,21.0
Cerro Gordo,Celaya-Ent. Cerro Gordo,motos,22.0
Cerro Gordo,Ent. Cerro Gordo-Irapuato,motos,18.0
Cerro Gordo,Ent. Cerro Gordo-Irapuato,motos,19.0
